date_key,fecha,dia,mes,nombre_mes,trimestre,anio,dia_semana
20240323,2024-03-23,23,3,March,1,2024,Saturday
20241129,2024-11-29,29,11,November,4,2024,Friday
20240823,2024-08-23,23,8,August,3,2024,Friday
20241021,2024-10-21,21,10,October,4,2024,Monday
20240916,2024-09-16,16,9,September,3,2024,Monday
20240206,2024-02-06,6,2,February,1,2024,Tuesday
20240617,2024-06-17,17,6,June,2,2024,Monday
20240319,2024-03-19,19,3,March,1,2024,Tuesday
20240914,2024-09-14,14,9,September,3,2024,Saturday
20241216,2024-12-16,16,12,December,4,2024,Monday
20240614,2024-06-14,14,6,June,2,2024,Friday
20240918,2024-09-18,18,9,September,3,2024,Wednesday
20240625,2024-06-25,25,6,June,2,2024,Tuesday
20240911,2024-09-11,11,9,September,3,2024,Wednesday
20241018,2024-10-18,18,10,October,4,2024,Friday
20240607,2024-06-07,7,6,June,2,2024,Friday
20240701,2024-07-01,1,7,July,3,2024,Monday
20241215,2024-12-15,15,12,December,4,2024,Sunday
20241124,2024-11-24,24,11,November,4,2024,Sunday
20240524,2024-05-24,24,5,May,2,2024,Friday
20241214,2024-12-14,14,12,December,4,2024,Saturday
20240729,2024-07-29,29,7,July,3,2024,Monday
20240223,2024-02-23,23,2,February,1,2024,Friday
20240309,2024-03-09,9,3,March,1,2024,Saturday
20240828,2024-08-28,28,8,August,3,2024,Wednesday
20240808,2024-08-08,8,8,August,3,2024,Thursday
20240126,2024-01-26,26,1,January,1,2024,Friday
20240412,2024-04-12,12,4,April,2,2024,Friday
20240405,2024-04-05,5,4,April,2,2024,Friday
20241103,2024-11-03,3,11,November,4,2024,Sunday
20240518,2024-05-18,18,5,May,2,2024,Saturday
20241115,2024-11-15,15,11,November,4,2024,Friday
20240204,2024-02-04,4,2,February,1,2024,Sunday
20240529,2024-05-29,29,5,May,2,2024,Wednesday
20240713,2024-07-13,13,7,July,3,2024,Saturday
20240516,2024-05-16,16,5,May,2,2024,Thursday
20241002,2024-10-02,2,10,October,4,2024,Wednesday
20240226,2024-02-26,26,2,February,1,2024,Monday
20240910,2024-09-10,10,9,September,3,2024,Tuesday
20240912,2024-09-12,12,9,September,3,2024,Thursday
20240124,2024-01-24,24,1,January,1,2024,Wednesday
20240212,2024-02-12,12,2,February,1,2024,Monday
20240401,2024-04-01,1,4,April,2,2024,Monday
20240802,2024-08-02,2,8,August,3,2024,Friday
20240930,2024-09-30,30,9,September,3,2024,Monday
20240616,2024-06-16,16,6,June,2,2024,Sunday
20240504,2024-05-04,4,5,May,2,2024,Saturday
20240603,2024-06-03,3,6,June,2,2024,Monday
20241003,2024-10-03,3,10,October,4,2024,Thursday
20240525,2024-05-25,25,5,May,2,2024,Saturday
20240304,2024-03-04,4,3,March,1,2024,Monday
20241110,2024-11-10,10,11,November,4,2024,Sunday
20240411,2024-04-11,11,4,April,2,2024,Thursday
20240601,2024-06-01,1,6,June,2,2024,Saturday
20240509,2024-05-09,9,5,May,2,2024,Thursday
20240730,2024-07-30,30,7,July,3,2024,Tuesday
20240225,2024-02-25,25,2,February,1,2024,Sunday
20240209,2024-02-09,9,2,February,1,2024,Friday
20240302,2024-03-02,2,3,March,1,2024,Saturday
20240827,2024-08-27,27,8,August,3,2024,Tuesday
20240308,2024-03-08,8,3,March,1,2024,Friday
20240320,2024-03-20,20,3,March,1,2024,Wednesday
20240125,2024-01-25,25,1,January,1,2024,Thursday
20241222,2024-12-22,22,12,December,4,2024,Sunday
20241221,2024-12-21,21,12,December,4,2024,Saturday
20240505,2024-05-05,5,5,May,2,2024,Sunday
20241108,2024-11-08,8,11,November,4,2024,Friday
20241226,2024-12-26,26,12,December,4,2024,Thursday
20240905,2024-09-05,5,9,September,3,2024,Thursday
20241125,2024-11-25,25,11,November,4,2024,Monday
20240815,2024-08-15,15,8,August,3,2024,Thursday
20240210,2024-02-10,10,2,February,1,2024,Saturday
20240926,2024-09-26,26,9,September,3,2024,Thursday
20241019,2024-10-19,19,10,October,4,2024,Saturday
20240331,2024-03-31,31,3,March,1,2024,Sunday
20241211,2024-12-11,11,12,December,4,2024,Wednesday
20240619,2024-06-19,19,6,June,2,2024,Wednesday
20240620,2024-06-20,20,6,June,2,2024,Thursday
20240710,2024-07-10,10,7,July,3,2024,Wednesday
20240920,2024-09-20,20,9,September,3,2024,Friday
20240430,2024-04-30,30,4,April,2,2024,Tuesday
20240604,2024-06-04,4,6,June,2,2024,Tuesday
20241030,2024-10-30,30,10,October,4,2024,Wednesday
20240811,2024-08-11,11,8,August,3,2024,Sunday
20240521,2024-05-21,21,5,May,2,2024,Tuesday
20241008,2024-10-08,8,10,October,4,2024,Tuesday
20240326,2024-03-26,26,3,March,1,2024,Tuesday
20240624,2024-06-24,24,6,June,2,2024,Monday
20240328,2024-03-28,28,3,March,1,2024,Thursday
20240927,2024-09-27,27,9,September,3,2024,Friday
20240426,2024-04-26,26,4,April,2,2024,Friday
20240519,2024-05-19,19,5,May,2,2024,Sunday
20240605,2024-06-05,5,6,June,2,2024,Wednesday
20240107,2024-01-07,7,1,January,1,2024,Sunday
20240419,2024-04-19,19,4,April,2,2024,Friday
20240610,2024-06-10,10,6,June,2,2024,Monday
20240816,2024-08-16,16,8,August,3,2024,Friday
20240721,2024-07-21,21,7,July,3,2024,Sunday
20240922,2024-09-22,22,9,September,3,2024,Sunday
20240526,2024-05-26,26,5,May,2,2024,Sunday
20240330,2024-03-30,30,3,March,1,2024,Saturday
20240919,2024-09-19,19,9,September,3,2024,Thursday
20240628,2024-06-28,28,6,June,2,2024,Friday
20241130,2024-11-30,30,11,November,4,2024,Saturday
20241104,2024-11-04,4,11,November,4,2024,Monday
20240416,2024-04-16,16,4,April,2,2024,Tuesday
20240115,2024-01-15,15,1,January,1,2024,Monday
20240708,2024-07-08,8,7,July,3,2024,Monday
20240814,2024-08-14,14,8,August,3,2024,Wednesday
20240731,2024-07-31,31,7,July,3,2024,Wednesday
20240508,2024-05-08,8,5,May,2,2024,Wednesday
20240809,2024-08-09,9,8,August,3,2024,Friday
20240512,2024-05-12,12,5,May,2,2024,Sunday
20240220,2024-02-20,20,2,February,1,2024,Tuesday
20241224,2024-12-24,24,12,December,4,2024,Tuesday
20240428,2024-04-28,28,4,April,2,2024,Sunday
20240118,2024-01-18,18,1,January,1,2024,Thursday
20240415,2024-04-15,15,4,April,2,2024,Monday
20241219,2024-12-19,19,12,December,4,2024,Thursday
20240122,2024-01-22,22,1,January,1,2024,Monday
20240817,2024-08-17,17,8,August,3,2024,Saturday
20240602,2024-06-02,2,6,June,2,2024,Sunday
20240311,2024-03-11,11,3,March,1,2024,Monday
20241120,2024-11-20,20,11,November,4,2024,Wednesday
20241023,2024-10-23,23,10,October,4,2024,Wednesday
20240810,2024-08-10,10,8,August,3,2024,Saturday
20240506,2024-05-06,6,5,May,2,2024,Monday
20241113,2024-11-13,13,11,November,4,2024,Wednesday
20240215,2024-02-15,15,2,February,1,2024,Thursday
20240801,2024-08-01,1,8,August,3,2024,Thursday
20240502,2024-05-02,2,5,May,2,2024,Thursday
20241020,2024-10-20,20,10,October,4,2024,Sunday
20240213,2024-02-13,13,2,February,1,2024,Tuesday
20240711,2024-07-11,11,7,July,3,2024,Thursday
20241118,2024-11-18,18,11,November,4,2024,Monday
20240305,2024-03-05,5,3,March,1,2024,Tuesday
20240112,2024-01-12,12,1,January,1,2024,Friday
20240517,2024-05-17,17,5,May,2,2024,Friday
20240513,2024-05-13,13,5,May,2,2024,Monday
20240104,2024-01-04,4,1,January,1,2024,Thursday
20241105,2024-11-05,5,11,November,4,2024,Tuesday
20240222,2024-02-22,22,2,February,1,2024,Thursday
20241204,2024-12-04,4,12,December,4,2024,Wednesday
20241212,2024-12-12,12,12,December,4,2024,Thursday
20240712,2024-07-12,12,7,July,3,2024,Friday
20241217,2024-12-17,17,12,December,4,2024,Tuesday
20240829,2024-08-29,29,8,August,3,2024,Thursday
20240325,2024-03-25,25,3,March,1,2024,Monday
20240630,2024-06-30,30,6,June,2,2024,Sunday
20240718,2024-07-18,18,7,July,3,2024,Thursday
20240314,2024-03-14,14,3,March,1,2024,Thursday
20240915,2024-09-15,15,9,September,3,2024,Sunday
20241116,2024-11-16,16,11,November,4,2024,Saturday
20240719,2024-07-19,19,7,July,3,2024,Friday
20241202,2024-12-02,2,12,December,4,2024,Monday
20240530,2024-05-30,30,5,May,2,2024,Thursday
20241205,2024-12-05,5,12,December,4,2024,Thursday
20240716,2024-07-16,16,7,July,3,2024,Tuesday
20240106,2024-01-06,6,1,January,1,2024,Saturday
20240228,2024-02-28,28,2,February,1,2024,Wednesday
20240404,2024-04-04,4,4,April,2,2024,Thursday
20240507,2024-05-07,7,5,May,2,2024,Tuesday
20240615,2024-06-15,15,6,June,2,2024,Saturday
20240123,2024-01-23,23,1,January,1,2024,Tuesday
20241028,2024-10-28,28,10,October,4,2024,Monday
20240824,2024-08-24,24,8,August,3,2024,Saturday
20241022,2024-10-22,22,10,October,4,2024,Tuesday
20240702,2024-07-02,2,7,July,3,2024,Tuesday
20240907,2024-09-07,7,9,September,3,2024,Saturday
20240705,2024-07-05,5,7,July,3,2024,Friday
20240503,2024-05-03,3,5,May,2,2024,Friday
20240410,2024-04-10,10,4,April,2,2024,Wednesday
20240422,2024-04-22,22,4,April,2,2024,Monday
20240925,2024-09-25,25,9,September,3,2024,Wednesday
20241210,2024-12-10,10,12,December,4,2024,Tuesday
20240727,2024-07-27,27,7,July,3,2024,Saturday
20241016,2024-10-16,16,10,October,4,2024,Wednesday
20240218,2024-02-18,18,2,February,1,2024,Sunday
20240307,2024-03-07,7,3,March,1,2024,Thursday
20240201,2024-02-01,1,2,February,1,2024,Thursday
20240310,2024-03-10,10,3,March,1,2024,Sunday
20240303,2024-03-03,3,3,March,1,2024,Sunday
20241026,2024-10-26,26,10,October,4,2024,Saturday
20240906,2024-09-06,6,9,September,3,2024,Friday
20241220,2024-12-20,20,12,December,4,2024,Friday
20240704,2024-07-04,4,7,July,3,2024,Thursday
20241017,2024-10-17,17,10,October,4,2024,Thursday
20241225,2024-12-25,25,12,December,4,2024,Wednesday
20240423,2024-04-23,23,4,April,2,2024,Tuesday
20240211,2024-02-11,11,2,February,1,2024,Sunday
20240322,2024-03-22,22,3,March,1,2024,Friday
20240501,2024-05-01,1,5,May,2,2024,Wednesday
20240403,2024-04-03,3,4,April,2,2024,Wednesday
20240421,2024-04-21,21,4,April,2,2024,Sunday
20240514,2024-05-14,14,5,May,2,2024,Tuesday
20241007,2024-10-07,7,10,October,4,2024,Monday
20241119,2024-11-19,19,11,November,4,2024,Tuesday
20240627,2024-06-27,27,6,June,2,2024,Thursday
20240316,2024-03-16,16,3,March,1,2024,Saturday
20240413,2024-04-13,13,4,April,2,2024,Saturday
20241128,2024-11-28,28,11,November,4,2024,Thursday
20240830,2024-08-30,30,8,August,3,2024,Friday
20240725,2024-07-25,25,7,July,3,2024,Thursday
20241227,2024-12-27,27,12,December,4,2024,Friday
20241206,2024-12-06,6,12,December,4,2024,Friday
20240813,2024-08-13,13,8,August,3,2024,Tuesday
20240120,2024-01-20,20,1,January,1,2024,Saturday
20240728,2024-07-28,28,7,July,3,2024,Sunday
20240804,2024-08-04,4,8,August,3,2024,Sunday
20240805,2024-08-05,5,8,August,3,2024,Monday
20240321,2024-03-21,21,3,March,1,2024,Thursday
20240429,2024-04-29,29,4,April,2,2024,Monday
20240913,2024-09-13,13,9,September,3,2024,Friday
20241006,2024-10-06,6,10,October,4,2024,Sunday
20241010,2024-10-10,10,10,October,4,2024,Thursday
20241228,2024-12-28,28,12,December,4,2024,Saturday
20241111,2024-11-11,11,11,November,4,2024,Monday
20240820,2024-08-20,20,8,August,3,2024,Tuesday
20241127,2024-11-27,27,11,November,4,2024,Wednesday
20241229,2024-12-29,29,12,December,4,2024,Sunday
20240408,2024-04-08,8,4,April,2,2024,Monday
20240723,2024-07-23,23,7,July,3,2024,Tuesday
20241009,2024-10-09,9,10,October,4,2024,Wednesday
20241106,2024-11-06,6,11,November,4,2024,Wednesday
20240217,2024-02-17,17,2,February,1,2024,Saturday
20240819,2024-08-19,19,8,August,3,2024,Monday
20240116,2024-01-16,16,1,January,1,2024,Tuesday
20240606,2024-06-06,6,6,June,2,2024,Thursday
20240318,2024-03-18,18,3,March,1,2024,Monday
20240724,2024-07-24,24,7,July,3,2024,Wednesday
20240929,2024-09-29,29,9,September,3,2024,Sunday
20241123,2024-11-23,23,11,November,4,2024,Saturday
20240111,2024-01-11,11,1,January,1,2024,Thursday
20240826,2024-08-26,26,8,August,3,2024,Monday
20240402,2024-04-02,2,4,April,2,2024,Tuesday
20241201,2024-12-01,1,12,December,4,2024,Sunday
20240205,2024-02-05,5,2,February,1,2024,Monday
20240306,2024-03-06,6,3,March,1,2024,Wednesday
20240424,2024-04-24,24,4,April,2,2024,Wednesday
20240909,2024-09-09,9,9,September,3,2024,Monday
20240812,2024-08-12,12,8,August,3,2024,Monday
20241015,2024-10-15,15,10,October,4,2024,Tuesday
20240207,2024-02-07,7,2,February,1,2024,Wednesday
20241230,2024-12-30,30,12,December,4,2024,Monday
20240706,2024-07-06,6,7,July,3,2024,Saturday
20240127,2024-01-27,27,1,January,1,2024,Saturday
20240102,2024-01-02,2,1,January,1,2024,Tuesday
20240121,2024-01-21,21,1,January,1,2024,Sunday
20240214,2024-02-14,14,2,February,1,2024,Wednesday
20240224,2024-02-24,24,2,February,1,2024,Saturday
20240119,2024-01-19,19,1,January,1,2024,Friday
20240227,2024-02-27,27,2,February,1,2024,Tuesday
20241014,2024-10-14,14,10,October,4,2024,Monday
20241223,2024-12-23,23,12,December,4,2024,Monday
20240203,2024-02-03,3,2,February,1,2024,Saturday
20241029,2024-10-29,29,10,October,4,2024,Tuesday
20240329,2024-03-29,29,3,March,1,2024,Friday
20240515,2024-05-15,15,5,May,2,2024,Wednesday
20240418,2024-04-18,18,4,April,2,2024,Thursday
20240312,2024-03-12,12,3,March,1,2024,Tuesday
20240523,2024-05-23,23,5,May,2,2024,Thursday
20240703,2024-07-03,3,7,July,3,2024,Wednesday
20240216,2024-02-16,16,2,February,1,2024,Friday
20241218,2024-12-18,18,12,December,4,2024,Wednesday
20240103,2024-01-03,3,1,January,1,2024,Wednesday
20240821,2024-08-21,21,8,August,3,2024,Wednesday
20240527,2024-05-27,27,5,May,2,2024,Monday
20240130,2024-01-30,30,1,January,1,2024,Tuesday
20240511,2024-05-11,11,5,May,2,2024,Saturday
20240520,2024-05-20,20,5,May,2,2024,Monday
20240528,2024-05-28,28,5,May,2,2024,Tuesday
20240924,2024-09-24,24,9,September,3,2024,Tuesday
20241102,2024-11-02,2,11,November,4,2024,Saturday
20240707,2024-07-07,7,7,July,3,2024,Sunday
20240313,2024-03-13,13,3,March,1,2024,Wednesday
20240618,2024-06-18,18,6,June,2,2024,Tuesday
20240414,2024-04-14,14,4,April,2,2024,Sunday
20240131,2024-01-31,31,1,January,1,2024,Wednesday
20240105,2024-01-05,5,1,January,1,2024,Friday
20240715,2024-07-15,15,7,July,3,2024,Monday
20240113,2024-01-13,13,1,January,1,2024,Saturday
20241109,2024-11-09,9,11,November,4,2024,Saturday
20240417,2024-04-17,17,4,April,2,2024,Wednesday
20241213,2024-12-13,13,12,December,4,2024,Friday
20241012,2024-10-12,12,10,October,4,2024,Saturday
20240229,2024-02-29,29,2,February,1,2024,Thursday
20240803,2024-08-03,3,8,August,3,2024,Saturday
20240409,2024-04-09,9,4,April,2,2024,Tuesday
20240822,2024-08-22,22,8,August,3,2024,Thursday
20240315,2024-03-15,15,3,March,1,2024,Friday
20240407,2024-04-07,7,4,April,2,2024,Sunday
20240117,2024-01-17,17,1,January,1,2024,Wednesday
20240714,2024-07-14,14,7,July,3,2024,Sunday
20241024,2024-10-24,24,10,October,4,2024,Thursday
20240921,2024-09-21,21,9,September,3,2024,Saturday
20240622,2024-06-22,22,6,June,2,2024,Saturday
20241112,2024-11-12,12,11,November,4,2024,Tuesday
20241031,2024-10-31,31,10,October,4,2024,Thursday
20240621,2024-06-21,21,6,June,2,2024,Friday
20240722,2024-07-22,22,7,July,3,2024,Monday
20240108,2024-01-08,8,1,January,1,2024,Monday
20240904,2024-09-04,4,9,September,3,2024,Wednesday
20240129,2024-01-29,29,1,January,1,2024,Monday
20241107,2024-11-07,7,11,November,4,2024,Thursday
20241126,2024-11-26,26,11,November,4,2024,Tuesday
20240626,2024-06-26,26,6,June,2,2024,Wednesday
20240128,2024-01-28,28,1,January,1,2024,Sunday
20240114,2024-01-14,14,1,January,1,2024,Sunday
20240709,2024-07-09,9,7,July,3,2024,Tuesday
20240831,2024-08-31,31,8,August,3,2024,Saturday
20240301,2024-03-01,1,3,March,1,2024,Friday
20240717,2024-07-17,17,7,July,3,2024,Wednesday
20241011,2024-10-11,11,10,October,4,2024,Friday
20240818,2024-08-18,18,8,August,3,2024,Sunday
20240531,2024-05-31,31,5,May,2,2024,Friday
20241122,2024-11-22,22,11,November,4,2024,Friday
20240427,2024-04-27,27,4,April,2,2024,Saturday
20241203,2024-12-03,3,12,December,4,2024,Tuesday
20241025,2024-10-25,25,10,October,4,2024,Friday
20240324,2024-03-24,24,3,March,1,2024,Sunday
20240902,2024-09-02,2,9,September,3,2024,Monday
20240612,2024-06-12,12,6,June,2,2024,Wednesday
20240109,2024-01-09,9,1,January,1,2024,Tuesday
20240923,2024-09-23,23,9,September,3,2024,Monday
20240917,2024-09-17,17,9,September,3,2024,Tuesday
20240221,2024-02-21,21,2,February,1,2024,Wednesday
20241027,2024-10-27,27,10,October,4,2024,Sunday
20240623,2024-06-23,23,6,June,2,2024,Sunday
20241207,2024-12-07,7,12,December,4,2024,Saturday
20241013,2024-10-13,13,10,October,4,2024,Sunday
20240327,2024-03-27,27,3,March,1,2024,Wednesday
20240903,2024-09-03,3,9,September,3,2024,Tuesday
20240806,2024-08-06,6,8,August,3,2024,Tuesday
20241114,2024-11-14,14,11,November,4,2024,Thursday
20241121,2024-11-21,21,11,November,4,2024,Thursday
20240110,2024-01-10,10,1,January,1,2024,Wednesday
20241117,2024-11-17,17,11,November,4,2024,Sunday
20240208,2024-02-08,8,2,February,1,2024,Thursday
20240901,2024-09-01,1,9,September,3,2024,Sunday
20240101,2024-01-01,1,1,January,1,2024,Monday
20240425,2024-04-25,25,4,April,2,2024,Thursday
20240608,2024-06-08,8,6,June,2,2024,Saturday
20241001,2024-10-01,1,10,October,4,2024,Tuesday
20240219,2024-02-19,19,2,February,1,2024,Monday
20240611,2024-06-11,11,6,June,2,2024,Tuesday
20240726,2024-07-26,26,7,July,3,2024,Friday
20241209,2024-12-09,9,12,December,4,2024,Monday
20240928,2024-09-28,28,9,September,3,2024,Saturday
20240609,2024-06-09,9,6,June,2,2024,Sunday
20241101,2024-11-01,1,11,November,4,2024,Friday
20240202,2024-02-02,2,2,February,1,2024,Friday
20240510,2024-05-10,10,5,May,2,2024,Friday
20240908,2024-09-08,8,9,September,3,2024,Sunday
20240317,2024-03-17,17,3,March,1,2024,Sunday
20240720,2024-07-20,20,7,July,3,2024,Saturday
20241208,2024-12-08,8,12,December,4,2024,Sunday
20241004,2024-10-04,4,10,October,4,2024,Friday
20240406,2024-04-06,6,4,April,2,2024,Saturday
20240522,2024-05-22,22,5,May,2,2024,Wednesday
20240825,2024-08-25,25,8,August,3,2024,Sunday
20240629,2024-06-29,29,6,June,2,2024,Saturday
20240613,2024-06-13,13,6,June,2,2024,Thursday
20241005,2024-10-05,5,10,October,4,2024,Saturday
20240807,2024-08-07,7,8,August,3,2024,Wednesday
20240420,2024-04-20,20,4,April,2,2024,Saturday
